9,安装 配件 太贵 支架 80 块 挂钩 50 块 接头 20 好多个 五金店 贵 好几倍 装好 300
17,未 安装 知名品牌 还好
21,热水器 不错 安装 师傅 材料费 好贵
26,东西 没用 东西 没用 东西 没用 东西 没用 东西 没用 东西 没用 东西 没用 东西 没用 东西 没用
34,bbc 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草 草草
42,热水器 挺 安装 人员 地道 明明 热水器 包装 里 垫片 收费 装完 收拾 发现
48,京东 服务 太 差
50,好用 没买 遥控
57,半个世纪
64,发货 倒 挺 委托 物流 送货员 不称职 货 甩 圆通 快递 语 打电话 问 说 十个 对不起 还好 检查 热水器 包装 勉强
66,机器 烧热 一会 热水 怎么回事
71,好用 物有所值
90,装上 没用
105,安装 师傅 认真负责 价格 透明 加热 速度 很快 保温 确实 差劲 不到 小时 水温 降 一半 真心 感到 失望
149,没装
161,热水器 牌子 省心
175,安装 贵 三角 阀麦 50 元 你家 黄金 八辈 祖宗 土匪 抢劫 出身 乱七八糟 300 块 电话 回访 屮
176,热水器 热得 很快 第二天 装上 收费 230 元
185,n n
192,热水器 送来 有个 坑 换 新
196,80 升 没货 吊顶 实在 不到 只好 买个 60 拆包 验货 说 冰箱 电视 空调 开箱 验 不准 赶上 电网 升级 家里 电 只好 师傅 走 楼梯 80 搬运费 师傅 累 100 评价 安装 追加 评论
204,还好 没装
214,热水器 不错 安装费 贵 点
261,说 史密斯 服务 很差 态度 很差 家里 本来 不漏水 搞 漏水 说 责任 看清楚 嘴脸
271,热水器 冲着 史密斯 牌子 买 感觉 60 升 两个 人洗
276,没用 安装 只用 两百多
280,好用 问 全胆 半胆 用电
286,点火 真心 冬天 一秒钟 嫌 冷
301,确实 省 电 牌子 热水器
307,A0 史密斯 电热水器 真心
331,再评
355,安装 师傅 经验 不太够 位置 门 冲突
356,安装 师傅 特别 负责人 公司 一再 电话 回访 n 电话 回访 三次 稍微 有点烦 n 师傅 推销 两件 资费 配件 买 师傅 一点 安装 打扫 n 安装费 总计 四十二 块 忙活 半天 赚少
361,安装 管件 花 300 够 贵 热水器 钱 售后 黑
367,挺不错 安装费 太贵 质量
382,嗷嗷
383,安装费 太贵
389,热水器 性价比
394,安装费 太贵 加 100 块 远程 费 真 明白 公司 消费者 掏钱 失望
398,家里 老人 买
410,感觉 水温 恒定 不冷 一会 冷
427,坏 太快 维修 太慢 今天下午 修好 垃圾
445,装修 备货
455,真的 好好 n 真的 好好 n 真的 好好 n
458,产品 没用
459,送货 态度 不好
469,热水器 看着 很漂亮
472,很漂亮 其他费用 太贵 远程 费 材料费 加 四五百 感觉 变相 坑人
473,京東 買 東西 北京 第一次 珠海 買 東西 沒 想到 送貨 速度 還是 之快 滿意 昨天 送來 還沒安裝
502,物流 给力 送 快递 服务态度 商场 买 便宜 热水器 史密斯
512,挺好用 安装费
522,送货 速度 没用 质量
533,安装 收费 太高 500 块
541,速热 功能 挺 安装费 贵 点 几十 公分 管子 要收 250 块
553,热水器 热得快 容量
564,多字 ...........
599,史密斯 服务态度 说 网上 买 活动 价买 挺贵
611,果断 差评 电热水器 安装费 四百五十 块 买 角阀 水管 逼 客户 买 安装工人 材料 建议 购买 品牌
640,热水器 下午 刚装 晚上 好多 热水 师傅 安装 专业
642,热水器 很大 一只 80L 够 全家 操作 简单 费电 功率
647,出水 真的 很快 夏天 开速 热 半桶 三分钟 洗 洗 压力
652,挺 一下子 买 三台 客户
671,史密斯 热水器 10 年 坏 买 服务 人员 师傅 真的 差劲 差劲 差劲
672,家里 装修 提前 买 东西 发过来 撞坏 二个月 发现 退换货 完 申请 电话 客服 跟进 进度 一遍 一遍 打电话 问
679,................................................
706,热水器 买 AO 史密斯 安装 收费 费用 吐槽 快递 员 送货员 打电话 说 40 分钟 外边 办事 回到 新装修 房子 里 迟到 20 分钟 打电话 说 小区 客户 接受 体谅 嘱咐 吃 中午饭 小区 先送 我家 我家 楼 小区 入口处 迟到 半小时 打电话 先送 小区 楼 客户 讲信用 守时 体谅 快递 人员 不让 错 活该 小时 我家 人到 送 货车 停 楼门口 连人 带车 拽 空房子 里 干 饿 小时 投诉 好几遍 强词夺理 错 送货 麻烦 规划 时间 行不行
707,安装 没用 发表
710,价格便宜 量 足 n n 史密斯 安装 材料费 太贵 两百多 块 好像 n 卖 热水器 赚钱 就行了 安装 赚 一部分 n
714,担心 事 解决
